,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration,current_drawdown,var_95,cvar_95,win_rate,profit_factor,num_periods
Master_CIO_DRL,0.017450004029538002,0.07199932152724045,0.03259250104437091,1.5954382100486684,2.6264321496143723,8.952328033260102,-0.008042524945438242,18.0,-0.003844850425560137,-0.0027697417757976957,-0.0035085627423490917,0.5245901639344263,1.4127380129197893,61.0
Equal_Weight_1/N,0.05167112162431664,0.03098646809611493,0.0407386865083106,0.2696814511649444,0.37172362611995763,0.8667546514593915,-0.03574998766253138,139.0,-0.008004814276971929,-0.0034779276859481234,-0.0055534643230625395,0.5083135391923991,1.1429714900845354,421.0
Mean_Variance_Opt,0.051671121624317085,0.03098646809611453,0.040738686508310536,0.269681451164935,0.37172362611994797,0.8667546514593832,-0.035749987662531256,139.0,-0.008004814276971788,-0.0034779276859480124,-0.005553464323062524,0.5083135391923991,1.1429714900845331,421.0
Risk_Parity,0.049965469452734945,0.029842704683496507,0.036264695808513936,0.27141285661041537,0.3403911695201673,0.8347612582472012,-0.035749987662531256,150.0,-0.00525727943751297,-0.003128051984575438,-0.0051448249735337815,0.498812351543943,1.1853859882015763,421.0
Ensemble_Full_Capital,0.31526517915298413,0.19373224860761645,0.24337208953608677,0.7138544478899898,0.9808933085486531,0.9403028219809662,-0.20603176346900087,139.0,-0.05055898978937539,-0.02080124450991172,-0.03328572448308252,0.5106888361045131,1.1507170381226317,421.0
