,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor
Master_CIO_DRL,1.75%,7.20%,3.26%,1.5954382100486684,2.6264321496143723,8.952328033260102,-0.80%,52.46%,1.4127380129197893
Equal_Weight_1/N,5.17%,3.10%,4.07%,0.2696814511649444,0.37172362611995763,0.8667546514593915,-3.57%,50.83%,1.1429714900845354
Mean_Variance_Opt,5.17%,3.10%,4.07%,0.269681451164935,0.37172362611994797,0.8667546514593832,-3.57%,50.83%,1.1429714900845331
Risk_Parity,5.00%,2.98%,3.63%,0.27141285661041537,0.3403911695201673,0.8347612582472012,-3.57%,49.88%,1.1853859882015763
Ensemble_Full_Capital,31.53%,19.37%,24.34%,0.7138544478899898,0.9808933085486531,0.9403028219809662,-20.60%,51.07%,1.1507170381226317
